三角薯餅,,111
鮮奶（小杯）,,135
吮指嫩雞粥,,199
燻腸鮮蔬蛋烤餅,,243
總匯歐姆蛋堡,,261
培根薯餅蛋烤餅,,295
吮指嫩雞蛋烤餅,,312
吮指嫩雞蛋堡,,315
吮指嫩雞燒餅,,436
德式燻腸燒餅,,460
總匯歐姆蛋燒餅,,512
德式經典總匯早餐,,674
上校薄皮嫩雞（棒腿）,,167
上校薄脆雞（棒腿）,,192
上校雞塊（4個）,,197
美式BBQ醬烤煙燻雞（大腿）,,228
?啦脆雞（棒腿）,,236
上校經典脆雞堡,,386
義式香草紙包雞,,386
上校雞塊（8個）,,393
紐奧良烤雞腿堡,,411
?啦雞腿堡,,445
墨西哥莎莎霸王捲,,456
巴黎卡菲嫩雞捲,,570
經典玉米,,86
鮮蔬沙拉（含千島醬）,,88
玉米濃湯（小）,,126
原味蛋撻,,182
勁爆雞米花（大）,,183
香酥脆薯（中）,,185
雞汁風味飯,,259
吮指雙雞（上校薄脆雞）,,658
上校經典脆雞堡,,660
紐奧良烤雞腿堡,,685
?啦雞腿堡,,719
美式BBQ醬烤煙燻雞,,730
墨西哥莎莎霸王捲,,730
吮指雙雞（?啦脆雞）,,746
巴黎卡菲嫩雞捲,,844
熱紅茶,,0
無糖茉莉綠茶（中）,,0
熱義式咖啡（小）,,23
冰義式咖啡,,34
熱義式咖啡（大）,,34
冰紅茶（中）,,72
經典熱奶茶（小）,,89
柳橙汁,,103
熱義式卡布奇諾,,130
熱義式拿鐵,,140
冰義式拿鐵,,155
經典冰奶茶（小）,,166
百事可樂（中）,,195
七喜（中）,,202
