Q彈海老牛肉堡,154,405
Q彈海老脆雞堡,190,488
Q彈海老堡,125,319
花生安格斯牛肉堡,204,652
小怪獸香豬脆雞堡,206,499
重磅培根雙層辣雞腿堡,394,1170
重磅培根雙層牛肉堡,395,1190
勁濃安格斯牛肉堡,183,573
安格斯厚切牛肉堡,231,575
金沙安格斯牛肉堡,221,541
華堡,323,699
辣味華堡,323,711
雙層華堡,437,1033
雙層辣味華堡,437,1045
三層華堡,550,1368
?牛肉堡,170,508
三層?牛肉堡,210,635
四層?牛肉堡,250,761
小華堡,165,357
辣味小華堡,165,363
金沙辣雞腿堡,252,632
總匯辣雞腿堡,198,494
總匯吉士辣雞腿堡,209,535
勁濃培根雞腿堡,194,558
火烤雞腿培根堡,176,374
總匯吉士火烤雞腿堡,197,471
華鱈魚堡,140,338
雙層田園華鱈魚堡,214,450
脆洋蔥牛肉堡,133,400
BK經典脆雞堡,153,405
雙起司牛肉堡,123,395
雙層火烤牛肉堡,153,538
吉士火烤牛肉堡,130,354
花生培根脆雞堡,163,541
花生培根牛肉堡,147,514
起司火腿脆雞蛋堡,230,529
火腿豬肉蛋堡,201,487
雙層豬肉起司蛋堡,237,410
起士蛋堡,137,264
火腿培根蛋華頌,149,286
花生香豬華頌,189,440
花生蔬菜蛋華頌,152,252
早安脆雞堡,162,402
早安鱈魚堡,129,297
V型薯,150,231
香濃起士球,84,204
巧克力聖代,112,429
草莓聖代,128,474
濃縮咖啡聖代,131,184
甜筒冰淇淋,124,517
洋蔥圈(中),91,146
洋蔥圈(大),130,208
薯條(中),116,179
薯條(大),160,246
BK雞塊(5PC),90,218
BK雞塊(10PC),180,436
BK脆雞沙拉(改版),190,248
BK火烤牛肉沙拉(改版),190,185
勁濃起司薯,130,379
薯球,100,197
辣薯球,105,193
蘋果派,85,216
黃金炸機(腿),120,295
黃金炸機(排),175,420
BK聖代 x KitKat巧克力,180,419
黑糖珍珠波波聖代,107,324
水牛城辣雞翅(一腿一翅),87,187
黃金雞翅(一腿一翅),72,179
激浪汽水(中),,299
百事可樂(中),,262
低卡百事可樂(中),,0
七喜(中),,269
華年達橘子味汽水(中),,318
味丹檸檬風味紅茶(中),,260
柳橙汁(大),,181
立頓冰綠茶(中),,0
熱風味茶(12oz杯),,0
立頓熱紅茶(8oz杯),,0
熱美式研磨(12oz杯),,14
熱美式研磨(8oz杯),,9
冰美式研磨(12oz杯),,15
非研磨熱美式(8oz杯),,9
熱拿鐵(12oz杯),,138
冰拿鐵(12oz杯),,105
卡布奇諾(12oz杯),,134
熱巧克力(8oz杯),,119
蘑菇湯,,87
