赤肉麵線羹＋脆皮炸雞,,708
鮮酥雞肉羹＋香酥米糕,,750
赤肉麵線羹＋無骨雞塊,,742
五穀瘦肉粥＋脆皮炸雞,,734
鮮脆雞腿堡＋玉米濃湯,,862
扁食肉羹＋咖哩豬排堡,,897
烤醬雞堡＋脆皮炸雞,,662
鮮酥雞肉羹＋咖哩豬排堡,,1262
赤肉麵線羹＋鮮脆雞腿堡,,1267
兩塊脆皮炸雞,,664
赤肉麵線羹＋黃金鮮酥雞,,937
五穀瘦肉粥＋黃金鮮酥雞,,977
扁食肉羹＋無骨雞塊,,710
扁食肉羹＋烤醬雞堡,,650
扁食肉羹,,320
鮮酥雞肉羹,,450
赤肉麵線羹,,376
五穀瘦肉羹,,402
鮮脆雞腿堡,,754
咖哩豬排堡,,420
烤醬雞堡,,330
豬肉可樂餅,,176
香酥米糕,,300
麻糬棒,,220
超長熱狗,,560
脆皮雞腿,,332
脆皮雞塊,,332
無骨雞塊 5個,,366
無骨雞塊 9個,,658
黃金鮮酥雞,,410
地瓜薯條,,225
玉米濃湯,,198
可樂,,168
汽水,,142
蘋果汁,,120
檸檬風味紅茶,,156
冰紅茶牛奶,,216
冰咖啡牛奶,,150
冰美祿咖啡,,145
100%柳橙汁,,189
熱咖啡,,0
熱麥芽巧克力,,135
熱奶茶,,0
