漢堡,,336
吉士漢堡,,379
摩斯漢堡,,434
摩斯吉士漢堡,,477
辣味摩斯漢堡,,422
辣味摩斯吉士漢堡,,478
摩斯鱈魚堡,,508
蜜汁烤雞堡,,383
蜜汁烤雞起司堡,,428
黃金炸蝦堡,,390
摘鮮綠炸蝦堡,,233
摘鮮綠烤雞起司堡,,284
厚切培根牛肉堡,,744
藜麥燒肉珍珠堡,,462
燒肉珍珠堡,,461
藜麥薑燒珍珠堡,,355
薑燒珍珠堡,,356
藜麥海洋珍珠堡,,389
海洋珍珠堡,,390
藜麥杏鮑菇珍珠堡,,332
杏鮑菇珍珠堡,,334
藜麥元氣牛肉珍珠堡,,752
元氣牛肉珍珠堡,,752
摩斯熱狗堡,,278
辣味吉利熱狗堡,,287
黃金塔塔鱈魚堡,,362
元氣牛肉蛋堡,,472
培根雞蛋堡,,413
火腿歐姆蛋堡,,301
蕃茄吉士蛋堡,,279
咕咕雞堡,,341
咖哩豬排堡,,319
火腿蛋三明治,,423
日式豬排三明治,,303
雞肉三明治,,355
黃金蝦三明治,,321
摩斯雞塊6塊,,517
薯條(S),,267
薯條(L),,446
法蘭克熱狗,,158
摩斯雞塊,,431
和風炸雞,,472
北海道可樂餅,,176
和風雞腿塊,,276
夏威夷鮮蔬沙拉,,97
雞肉地瓜總匯沙拉 ,,166
雞塊薯條點心組,,593
雞腿塊薯條組,,363
方塊薯餅,,227
MOS洋蔥圈,,323
玉米濃湯,,78
鮮菇農湯,,79
葡萄蒟蒻,,103
蜂蜜檸檬蒟蒻,,97
可樂(L),,251
雪碧(L),,265
冰紅茶(M),,111
冰紅茶(L),,154
冰紅茶(無糖)(M),,7
冰紅茶(無糖)(L),,10
100%台灣冰綠茶(無糖)(M),,0
100%台灣冰綠茶(無糖)(L),,0
100%新鮮橘子汁(M),,186
熱紅茶,,2
柚子熱茶,,119
鹿兒島焙茶,,0
摩斯熱紅茶,,2
摩斯熱可可,,272
摩斯玄米煎茶,,1
摩斯早安奶茶(M),,157
冰摩斯咖啡(M),,6
冰摩斯咖啡(L),,7
冰拿鐵咖啡(M),,121
冰拿鐵咖啡(L),,136
冰澳式黑咖啡(M),,1
澳式冰歐蕾,,87
冰摩斯特調紅茶歐蕾(L),,133
早餐熱咖啡,,3
熱摩斯咖啡(M),,12
熱摩斯咖啡(L),,16
熱拿鐵咖啡(M),,129
熱拿鐵咖啡(L),,163
熱卡布奇諾(M),,123
熱卡布奇諾(L),,144
熱澳式黑咖啡(M),,2
熱摩斯馥樂白(M),,101
熱摩斯奶茶(M),,173
椰香咖哩雞腿堡,,548
輕檸雙牛堡,,581
火腿歐姆可頌堡,,479
和牛三明治,,405
雙層摩斯吉士漢堡,,639
雙層辣味摩斯吉士漢堡,,669
摩斯肉醬漢堡,,505
摩斯辣味雞塊(8個),,418
摩斯辣味雞塊(5個),,261
樂活嫩雞沙拉,,116
樂活鮮蔬沙拉,,74
金魷魚薯餅組,,321
北海道栗南瓜可樂餅,,145
雞腿天婦羅,,261
芒果氣泡飲,,320
冰萃檸檬綠茶,,193
鳳梨蒟蒻冰茶,,237
鳳梨氣泡飲,,282
紅鑽藜麥可可,,198
冰檸摩斯咖啡,,195
冰黑糖蒟蒻茶歐蕾,,186
冰黑糖特調拿鐵咖啡,,213
熱黑糖特調拿鐵咖啡,,266
米斯球,,240
抹茶紅豆米派,,191
鳳梨蒟蒻,,124
